Gene,Reported_mutation,Accession
ARID1A,Trunc,NM_006015
ARID1B,Trunc,NM_001374820
ARID5B,Trunc,NM_032199
ATM,Trunc,NM_000051
ATR,Trunc,NM_001184
B2M,Trunc,NM_004048
BCL10,Trunc,NM_003921
BIRC3,Trunc,NM_001165
BTG1,Trunc,NM_001731
CD58,Trunc,NM_001144822
CDKN2A,Trunc,NM_000077
CHEK2,Trunc,NM_007194
CIITA,Trunc,NM_001286402
DDX3X,Trunc,NM_001356
DTX1,Trunc,NM_004416
FAS,Trunc,NM_000043
FAT1,Trunc,NM_005245
FBXW7,Trunc,NM_001349798
FOXO1,Trunc,NM_002015
GPS2,Trunc,NM_004489
H1-5,Trunc,NM_005322
ID3,Trunc,NM_002167
KLF2,Trunc,NM_016270
KMT2C,Trunc,NM_170606
KMT2D,Trunc,NM_003482
MGA,Trunc,NM_001164273
NCOR1,Trunc,NM_006311
NFKBIA,Trunc,NM_020529
PAX5,Trunc,NM_001280547
POT1,Trunc,NM_015450
PRDM1,Trunc,NM_001198
PTEN,Trunc,NM_000314
PTPRD,Trunc,NM_002839
RB1,Trunc,NM_000321
SMARCA4,Trunc,NM_001128844
SOCS1,Trunc,NM_003745
SPEN,Trunc,NM_015001
TNFAIP3,Trunc,NM_001270507
TNFRSF14,Trunc,NM_003820
TSC2,Trunc,NM_000548
CCND3,Recheck,NM_001760
CXCR4,Recheck,NM_003467
IRF8,Recheck,NM_002163
NOTCH1,Recheck,NM_017617
NOTCH2,Recheck,NM_024408
