Gene,Reported_mutation,Accession,NameFromLCHIP
GNA13,BickPractical,NM_006572,GNA13
IKZF3,BickPractical,NM_012481,IKZF3
JAK1,BickPractical,NM_002227,JAK1
JAK3,BickPractical,NM_000215,JAK3
KMT2D,BickPractical,NM_003482,KMT2D
PTEN,BickPractical,NM_000314,PTEN
SETDB1,BickPractical,NM_001145415,SETDB1
ATM,BickPractical,NM_000051,ATM
MYD88,BickPractical,NM_001365876,MYD88
STAT3,BickPractical,NM_003150,STAT3
ABL1,SNV,NM_005157,ABL1
ADD2,SNV,NM_001185054,ADD2
ADGRV1,SNV,NM_032119,ADGRV1
AKAP6,SNV,NM_004274,AKAP6
ALK,SNV,NM_004304,ALK
ANKRD50,SNV,NM_020337,ANKRD50
AOC2,SNV,NM_001158,AOC2
ARHGEF1,SNV,NM_004706,ARHGEF1
ARID1A,SNV,NM_006015,ARID1A
ARID5B,SNV,NM_032199,ARID5B
ATR,SNV,NM_001184,ATR
AUTS2,SNV,NM_015570,AUTS2
B2M,SNV,NM_004048,B2M
BAZ2A,SNV,NM_013449,BAZ2A
BCL11A,SNV,NM_018014,BCL11A
BCL2,SNV,NM_000633,BCL2
BCL6,SNV,NM_001130845,BCL6
BRCA1,SNV,NM_007294,BRCA1
BRWD3,SNV,NM_153252,BRWD3
BTG1,SNV,NM_001731,BTG1
BTG2,SNV,NM_006763,BTG2
CARD11,SNV,NM_001324281,CARD11
CCAR1,SNV,NM_018237,CCAR1
CCND1,SNV,NM_053056,CCND1
CCND3,SNV,NM_001760,CCND3
CD19,SNV,NM_001178098,CD19
CD274,SNV,NM_001314029,CD274
CDKN2A,SNV,NM_000077,CDKN2A
CHD2,SNV,NM_001271,CHD2
CHD8,SNV,NM_001170629,CHD8
CHEK2,SNV,NM_007194,CHEK2
CIITA,SNV,NM_000246,CIITA
CLGN,SNV,NM_001130675,CLGN
CNKSR2,SNV,NM_001168648,CNKSR2
COL6A3,SNV,NM_004369,COL6A3
CSF2RB,SNV,NM_000395,CSF2RB
CXCR4,SNV,NM_003467,CXCR4
DAZAP1,SNV,NM_018959,DAZAP1
DDX11,SNV,NM_001257144,DDX11
DLC1,SNV,NM_001348081,DLC1
DMD,SNV,NM_004006,DMD
DTX1,SNV,NM_004416,DTX1
DUSP2,SNV,NM_004418,DUSP2
DUSP22,SNV,NM_020185,DUSP22
EBF1,SNV,NM_001324103,EBF1
EEF1A1,SNV,NM_001402,EEF1A1
ENPP3,SNV,NM_005021,ENPP3
