"LCHIP_Name","ATFF","Gene"
"ABL1","Frameshift/stop gain/splice site, Nonsynonymous","ABL1"
"ACTB","Frameshift/stop gain/splice site, Nonsynonymous","ACTB"
"ADD2","Frameshift/stop gain/splice site, Nonsynonymous","ADD2"
"ADGRV1","Frameshift/stop gain/splice site, Nonsynonymous","ADGRV1"
"AKAP6","Frameshift/stop gain/splice site, Nonsynonymous","AKAP6"
"ALK","Frameshift/stop gain/splice site, Nonsynonymous","ALK"
"ANKRD50","Frameshift/stop gain/splice site, Nonsynonymous","ANKRD50"
"AOC2","Frameshift/stop gain/splice site, Nonsynonymous","AOC2"
"ARHGEF1","Frameshift/stop gain/splice site, Nonsynonymous","ARHGEF1"
"ARID1A","Nonsynonymous","ARID1A"
"ATM","Nonsynonymous","ATM"
"AUTS2","Frameshift/stop gain/splice site, Nonsynonymous","AUTS2"
"B2M","Nonsynonymous","B2M"
"BAZ2A","Frameshift/stop gain/splice site, Nonsynonymous","BAZ2A"
"BAZ2B","Frameshift/stop gain/splice site, Nonsynonymous","BAZ2B"
"BCL11A","Frameshift/stop gain/splice site, Nonsynonymous","BCL11A"
"BCL2","Nonsynonymous","BCL2"
"BCL6","Nonsynonymous","BCL6"
"BCL7A","Frameshift/stop gain/splice site, Nonsynonymous","BCL7A"
"BRCA1","Frameshift/stop gain/splice site, Nonsynonymous","BRCA1"
"BRWD3","Frameshift/stop gain/splice site, Nonsynonymous","BRWD3"
"BTG2","Frameshift/stop gain/splice site, Nonsynonymous","BTG2"
"BTK","Nonsynonymous","BTK"
"CARD11","Nonsynonymous","CARD11"
"CCAR1","Frameshift/stop gain/splice site, Nonsynonymous","CCAR1"
"CCL4","Frameshift/stop gain/splice site, Nonsynonymous","CCL4"
"CCND1","Nonsynonymous","CCND1"
"CCND3","Nonsynonymous","CCND3"
"CD19","Frameshift/stop gain/splice site, Nonsynonymous","CD19"
"CD274","Frameshift/stop gain/splice site, Nonsynonymous","CD274"
"CD70","Frameshift/stop gain/splice site, Nonsynonymous","CD70"
"CD79A","Frameshift/stop gain/splice site, Nonsynonymous","CD79A"
"CD79B","Nonsynonymous","CD79B"
"CD83","Frameshift/stop gain/splice site, Nonsynonymous","CD83"
"CDKN2A","Nonsynonymous","CDKN2A"
"CHD2","Frameshift/stop gain/splice site, Nonsynonymous","CHD2"
"CHD8","Frameshift/stop gain/splice site, Nonsynonymous","CHD8"
"CIITA","Nonsynonymous","CIITA"
"CLGN","Frameshift/stop gain/splice site, Nonsynonymous","CLGN"
"CNKSR2","Frameshift/stop gain/splice site, Nonsynonymous","CNKSR2"
"COL6A3","Frameshift/stop gain/splice site, Nonsynonymous","COL6A3"
"CSF2RB","Frameshift/stop gain/splice site, Nonsynonymous","CSF2RB"
"CTSS","Frameshift/stop gain/splice site, Nonsynonymous","CTSS"
"CXCR4","Nonsynonymous","CXCR4"
"DAZAP1","Frameshift/stop gain/splice site, Nonsynonymous","DAZAP1"
"DDX11","Frameshift/stop gain/splice site, Nonsynonymous","DDX11"
"DDX3X","Nonsynonymous","DDX3X"
"DGKB","Frameshift/stop gain/splice site, Nonsynonymous","DGKB"
"DIRAS3","Frameshift/stop gain/splice site, Nonsynonymous","DIRAS3"
"DLC1","Frameshift/stop gain/splice site, Nonsynonymous","DLC1"
"DMD","Frameshift/stop gain/splice site, Nonsynonymous","DMD"
"DUSP2","Frameshift/stop gain/splice site, Nonsynonymous","DUSP2"
"DUSP22","Frameshift/stop gain/splice site, Nonsynonymous","DUSP22"
"EBF1","Frameshift/stop gain/splice site, Nonsynonymous","EBF1"
"EEF1A1","Frameshift/stop gain/splice site, Nonsynonymous","EEF1A1"
"ENPP3","Frameshift/stop gain/splice site, Nonsynonymous","ENPP3"
"ENTPD4","Frameshift/stop gain/splice site, Nonsynonymous","ENTPD4"
"ERBB4","Nonsynonymous","ERBB4"
"ETS1","Frameshift/stop gain/splice site, Nonsynonymous","ETS1"
"FANCE","Frameshift/stop gain/splice site, Nonsynonymous","FANCE"
"FAT1","Nonsynonymous","FAT1"
"FAT2","Frameshift/stop gain/splice site, Nonsynonymous","FAT2"
"FAT4","Frameshift/stop gain/splice site, Nonsynonymous","FAT4"
"FBXW7","Nonsynonymous","FBXW7"
"FOXC1","Frameshift/stop gain/splice site, Nonsynonymous","FOXC1"
"FOXO1","Nonsynonymous","FOXO1"
"FYN","Frameshift/stop gain/splice site, Nonsynonymous","FYN"
"GNA13","Frameshift/stop gain/splice site, Nonsynonymous","GNA13"
"GNAI2","Frameshift/stop gain/splice site, Nonsynonymous","GNAI2"
"GNE","Frameshift/stop gain/splice site, Nonsynonymous","GNE"
"GRB2","Frameshift/stop gain/splice site, Nonsynonymous","GRB2"
"GRHPR","Frameshift/stop gain/splice site, Nonsynonymous","GRHPR"
"GRM7","Frameshift/stop gain/splice site, Nonsynonymous","GRM7"
"HAVCR2","Frameshift/stop gain/splice site, Nonsynonymous","HAVCR2"
"HEATR3","Frameshift/stop gain/splice site, Nonsynonymous","HEATR3"
"HIST1H1C","Nonsynonymous","H1-2"
"HIST1H1D","Frameshift/stop gain/splice site, Nonsynonymous","H1-3"
"HIST1H1E","Frameshift/stop gain/splice site, Nonsynonymous","H1-4"
"HIST1H2AC","Frameshift/stop gain/splice site, Nonsynonymous","H2AC6"
"HIST1H2AM","Frameshift/stop gain/splice site, Nonsynonymous","H2AC17"
"HIST1H2BC","Nonsynonymous","H2BC4"
"HIST1H2BK","Frameshift/stop gain/splice site, Nonsynonymous","H2BC12"
"HIST1H3B","Frameshift/stop gain/splice site, Nonsynonymous","H3C2"
"HIST2H2BE","Frameshift/stop gain/splice site, Nonsynonymous","H2BC21"
"HNRNPD","Frameshift/stop gain/splice site, Nonsynonymous","HNRNPD"
"HVCN1","Frameshift/stop gain/splice site, Nonsynonymous","HVCN1"
"ID3","Nonsynonymous","ID3"
"IGLL5","Frameshift/stop gain/splice site, Nonsynonymous","IGLL5"
"IKZF3","Frameshift/stop gain/splice site, Nonsynonymous","IKZF3"
"IL10RA","Frameshift/stop gain/splice site, Nonsynonymous","IL10RA"
"IL6","Frameshift/stop gain/splice site, Nonsynonymous","IL6"
"IRF2BP2","Frameshift/stop gain/splice site, Nonsynonymous","IRF2BP2"
"IRF4","Nonsynonymous","IRF4"
"IRF8","Nonsynonymous","IRF8"
"ITK","Frameshift/stop gain/splice site, Nonsynonymous","ITK"
"ITPKB","Frameshift/stop gain/splice site, Nonsynonymous","ITPKB"
"ITPR3","Frameshift/stop gain/splice site, Nonsynonymous","ITPR3"
"JAK1","Nonsynonymous","JAK1"
"JAK3","Nonsynonymous","JAK3"
"KIAA1671","Frameshift/stop gain/splice site, Nonsynonymous","KIAA1671"
"KIR2DL3","Frameshift/stop gain/splice site, Nonsynonymous","KIR2DL3"
"KLHL14","Frameshift/stop gain/splice site, Nonsynonymous","KLHL14"
"KLHL21","Frameshift/stop gain/splice site, Nonsynonymous","KLHL21"
"KLHL6","Frameshift/stop gain/splice site, Nonsynonymous","KLHL6"
"KLHL9","Frameshift/stop gain/splice site, Nonsynonymous","KLHL9"
"KMT2D","Nonsynonymous","KMT2D"
"LRP1B","Frameshift/stop gain/splice site, Nonsynonymous","LRP1B"
"LTB","Frameshift/stop gain/splice site, Nonsynonymous","LTB"
"LYN","Frameshift/stop gain/splice site, Nonsynonymous","LYN"
"MAGT1","Frameshift/stop gain/splice site, Nonsynonymous","MAGT1"
"MAP2K1","Frameshift/stop gain/splice site, Nonsynonymous","MAP2K1"
"MATN2","Frameshift/stop gain/splice site, Nonsynonymous","MATN2"
"MCL1","Frameshift/stop gain/splice site, Nonsynonymous","MCL1"
"MED11","Frameshift/stop gain/splice site, Nonsynonymous","MED11"
"MEF2B","Nonsynonymous","MEF2B"
"MGARP","Frameshift/stop gain/splice site, Nonsynonymous","MGARP"
"MPEG1","Frameshift/stop gain/splice site, Nonsynonymous","MPEG1"
"MS4A1","Frameshift/stop gain/splice site, Nonsynonymous","MS4A1"
"MTOR","Nonsynonymous","MTOR"
"MYC","Nonsynonymous","MYC"
"MYCBP2","Frameshift/stop gain/splice site, Nonsynonymous","MYCBP2"
"NBPF14","Frameshift/stop gain/splice site, Nonsynonymous","NBPF14"
"NBPF15","Frameshift/stop gain/splice site, Nonsynonymous","NBPF15"
"NCOR2","Frameshift/stop gain/splice site, Nonsynonymous","NCOR2"
"NEB","Frameshift/stop gain/splice site, Nonsynonymous","NEB"
"NFKBIE","Frameshift/stop gain/splice site, Nonsynonymous","NFKBIE"
"NFKBIZ","Frameshift/stop gain/splice site, Nonsynonymous","NFKBIZ"
"NLRP8","Frameshift/stop gain/splice site, Nonsynonymous","NLRP8"
"NOL9","Frameshift/stop gain/splice site, Nonsynonymous","NOL9"
"NTRK1","Frameshift/stop gain/splice site, Nonsynonymous","NTRK1"
