George_Genes,Bick_Genes,ARIC_Genes,Weeks_and_Gout,Union_Genes
ATM,.,.,.,ATM
CALR,.,.,.,CALR
MYD88,.,.,.,MYD88
PIGA,.,.,.,PIGA
STAT3,.,.,.,STAT3
.,.,NXF1,NXF1,NXF1
.,.,SRCAP,SRCAP,SRCAP
.,.,YLPM1,YLPM1,YLPM1
.,.,ZNF318,ZNF318,ZNF318
.,.,ZBTB33,ZBTB33,ZBTB33
ASXL1,ASXL1,ASXL1,ASXL1,ASXL1
.,ASXL2,ASXL2,ASXL2,ASXL2
BCOR,BCOR,BCOR,BCOR,BCOR
BCORL1,BCORL1,BCORL1,BCORL1,BCORL1
BRAF,BRAF,BRAF,BRAF,BRAF
BRCC3,BRCC3,BRCC3,BRCC3,BRCC3
CBL,CBL,CBL,CBL,CBL
.,CBLB,CBLB,CBLB,CBLB
.,CEBPA,CEBPA,CEBPA,CEBPA
.,CREBBP,CREBBP,CREBBP,CREBBP
CSF1R,CSF1R,CSF1R,.,CSF1R
.,CSF3R,CSF3R,.,CSF3R
.,CTCF,CTCF,CTCF,CTCF
.,CUX1,CUX1,CUX1,CUX1
DNMT3A,DNMT3A,DNMT3A,DNMT3A,DNMT3A
.,EED,EED,EED,EED
.,EP300,EP300,EP300,EP300
.,ETNK1,.,ETNK1,ETNK1
.,ETV6,ETV6,ETV6,ETV6
EZH2,EZH2,EZH2,EZH2,EZH2
FLT3,FLT3,FLT3,FLT3,FLT3
.,GATA1,GATA1,GATA1,GATA1
.,GATA2,GATA2,GATA2,GATA2
.,GATA3,GATA3,GATA3,GATA3
.,GNA13,GNA13,GNA13,GNA13
GNAS,GNAS,.,GNAS,GNAS
GNB1,GNB1,GNB1,GNB1,GNB1
IDH1,IDH1,IDH1,IDH1,IDH1
IDH2,IDH2,IDH2,IDH2,IDH2
.,IKZF1,IKZF1,IKZF1,IKZF1
.,IKZF2,IKZF2,IKZF2,IKZF2
.,IKZF3,IKZF3,IKZF3,IKZF3
.,JAK1,JAK1,JAK1,JAK1
JAK2,JAK2,JAK2,JAK2,JAK2
.,JAK3,JAK3,JAK3,JAK3
KDM6A,KDM6A,KDM6A,KDM6A,KDM6A
KIT,KIT,KIT,KIT,KIT
.,KMT2A,.,.,KMT2A
.,KMT2D,.,.,KMT2D
KRAS,KRAS,KRAS,KRAS,KRAS
.,LUC7L2,LUC7L2,LUC7L2,LUC7L2
MPL,MPL,MPL,MPL,MPL
.,NF1,NF1,NF1,NF1
NPM1,NPM1,NPM1,NPM1,NPM1
NRAS,NRAS,NRAS,NRAS,NRAS
.,PDS5B,PDS5B,PDS5B,PDS5B
.,PDSS2,PDSS2,.,PDSS2
PHF6,PHF6,PHF6,PHF6,PHF6
.,PHIP,PHIP,PHIP,PHIP
PPM1D,PPM1D,PPM1D,PPM1D,PPM1D
PRPF40B,PRPF40B,PRPF40B,.,PRPF40B
.,PRPF8,PRPF8,PRPF8,PRPF8
.,PTEN,PTEN,PTEN,PTEN
.,PTPN11,PTPN11,PTPN11,PTPN11
RAD21,RAD21,RAD21,RAD21,RAD21
RUNX1,RUNX1,RUNX1,RUNX1,RUNX1
.,SETBP1,.,SETBP1,SETBP1
.,SETD2,SETD2,SETD2,SETD2
.,SETDB1,SETDB1,SETDB1,SETDB1
SF1,SF1,SF1,.,SF1
SF3A1,SF3A1,SF3A1,.,SF3A1
SF3B1,SF3B1,SF3B1,SF3B1,SF3B1
SMC1A,SMC1A,.,SMC1A,SMC1A
SMC3,SMC3,SMC3,SMC3,SMC3
SRSF2,SRSF2,SRSF2,SRSF2,SRSF2
.,STAG1,STAG1,STAG1,STAG1
STAG2,STAG2,STAG2,STAG2,STAG2
.,SUZ12,SUZ12,SUZ12,SUZ12
TET2,TET2,TET2,TET2,TET2
TP53,TP53,TP53,TP53,TP53
U2AF1,U2AF1,U2AF1,U2AF1,U2AF1
U2AF2,U2AF2,U2AF2,U2AF2,U2AF2
.,WT1,WT1,WT1,WT1
ZRSR2,ZRSR2,ZRSR2,ZRSR2,ZRSR2
